,symbol1,symbol2
713,EGFR,MIER1
714,EGFR,PRIM1
715,EGFR,GPNMB
716,EGFR,RPS7
717,EGFR,PLK1
718,EGFR,ANO5
719,EGFR,DNAJB12
720,EGFR,ACTR2
721,EGFR,HK2
722,EGFR,HNRNPL
723,EGFR,ACADSB
724,EGFR,TNFRSF1A
725,EGFR,P4HB
726,EGFR,LIMD1
727,EGFR,TTN
728,EGFR,CDH5
729,EGFR,RCC2
730,EGFR,SLC16A1
731,EGFR,MRPL42
732,EGFR,TTC37
733,EGFR,PRKAR1A
734,EGFR,DNAH7
735,EGFR,MRPL9
736,EGFR,COA3
737,EGFR,TXN
738,EGFR,RALY
739,EGFR,ELP4
740,EGFR,NOL6
741,EGFR,ITGB2
742,EGFR,YWHAB
743,EGFR,APPL1
744,EGFR,PPP3CB
745,EGFR,ELF3
746,EGFR,EIF2B2
747,EGFR,GCN1
748,EGFR,HMGA1
749,EGFR,GRID1
750,EGFR,MAP3K14
751,EGFR,PKIA
752,EGFR,PIK3R1
753,EGFR,RPRD1A
754,EGFR,SNX6
755,EGFR,PIGS
756,EGFR,ST8SIA4
757,EGFR,SFXN3
758,EGFR,YAP1
759,EGFR,NGLY1
760,EGFR,SCFD1
761,EGFR,PLAA
762,EGFR,MRTO4
763,EGFR,DUSP18
764,EGFR,TELO2
765,EGFR,ATP6V1H
766,EGFR,FANCC
767,EGFR,HMGN2
768,EGFR,TNK2
769,EGFR,GLUL
770,EGFR,AASDH
771,EGFR,ZC3H4
772,EGFR,GIT1
773,EGFR,ATIC
774,EGFR,TRAF3IP1
775,EGFR,ERBB2
776,EGFR,WAS
777,EGFR,PSPC1
778,EGFR,HNRNPF
779,EGFR,GRN
780,EGFR,USP34
781,EGFR,SYN1
782,EGFR,DDX20
783,EGFR,RIPK1
784,EGFR,MMP14
785,EGFR,ILF2
786,EGFR,IDH2
787,EGFR,UCHL1
788,EGFR,RPL3
789,EGFR,EIF4G2
790,EGFR,PAK1
791,EGFR,IARS
792,EGFR,ARHGEF2
793,EGFR,FBL
794,EGFR,CBL
795,EGFR,FAS
796,EGFR,BIRC3
797,EGFR,LRP1
798,EGFR,RFC5
799,EGFR,OAT
800,EGFR,DYNC1H1
801,EGFR,EXOC6
802,EGFR,SSR1
803,EGFR,APRT
804,EGFR,P3H1
805,EGFR,SAAL1
806,EGFR,IDH3A
807,EGFR,PTPN23
808,EGFR,E2F4
809,EGFR,USP9X
810,EGFR,SSRP1
811,EGFR,PPP2R1B
812,EGFR,PXN
813,EGFR,SEC61B
814,EGFR,PSMD1
815,EGFR,NADSYN1
816,EGFR,STAT5A
817,EGFR,CTBP1
818,EGFR,UMPS
819,EGFR,IL1RAPL2
820,EGFR,RBM39
821,EGFR,NDN
822,EGFR,RBM25
823,EGFR,PTPRC
824,EGFR,NCAPG
825,EGFR,NUBP2
826,EGFR,PSMA4
827,EGFR,XIAP
828,EGFR,PKM
829,EGFR,WBP2
830,EGFR,RGS4
831,EGFR,GOLM1
832,EGFR,PDAP1
833,EGFR,WASF3
834,EGFR,NTRK2
835,EGFR,CFL1
836,EGFR,RAF1
837,EGFR,MARS
838,EGFR,TOM1L2
839,EGFR,TPM3
840,EGFR,HSP90AB1
841,EGFR,SULT1A1
842,EGFR,SSBP1
843,EGFR,XPO5
844,EGFR,HSPA4
845,EGFR,SNRPD2
846,EGFR,EXOC4
847,EGFR,ZZZ3
848,EGFR,STX17
849,EGFR,EIF2B5
850,EGFR,SNRPA1
851,EGFR,MAPT
852,EGFR,TUBA4A
853,EGFR,HSP90B1
854,EGFR,CST3
855,EGFR,EGFR
856,EGFR,PON2
857,EGFR,KCNQ1
858,EGFR,ZFR
859,EGFR,POLR2A
860,EGFR,TRIM28
861,EGFR,EXOC8
862,EGFR,SPATC1L
863,EGFR,EGF
864,EGFR,TNIK
865,EGFR,CTBP2
866,EGFR,DDB1
867,EGFR,CEND1
868,EGFR,CTGF
869,EGFR,TTC27
870,EGFR,ATXN10
871,EGFR,BCLAF1
872,EGFR,HK1
873,EGFR,SEC13
874,EGFR,RAB1A
875,EGFR,CD2AP
876,EGFR,LANCL2
877,EGFR,SEC61A1
878,EGFR,YARS
879,EGFR,CEP170
880,EGFR,LRRC40
881,EGFR,EZR
882,EGFR,AAMP
883,EGFR,NANS
884,EGFR,SKIV2L
885,EGFR,EXOSC3
886,EGFR,PPM1F
887,EGFR,EIF5A
888,EGFR,RARS
889,EGFR,STYX
890,EGFR,UBB
891,EGFR,ARAP1
892,EGFR,IPO9
893,EGFR,FAM129B
894,EGFR,TMEM2
895,EGFR,PTCH1
896,EGFR,RPA2
897,EGFR,MAPK1
898,EGFR,CLTA
899,EGFR,EEF1A1
900,EGFR,RPA1
901,EGFR,BLM
902,EGFR,PPIB
903,EGFR,TRMO
904,EGFR,APP
905,EGFR,STAT3
906,EGFR,ATP1A1
907,EGFR,AHNAK
908,EGFR,MVP
909,EGFR,BECN1
910,EGFR,CBY1
911,EGFR,SCYL2
912,EGFR,H2AFX
913,EGFR,TRA2B
914,EGFR,CD82
915,EGFR,AR
916,EGFR,MAP1LC3A
917,EGFR,ARPC4
918,EGFR,PFKP
919,EGFR,CSTF3
920,EGFR,THADA
921,EGFR,USP31
922,EGFR,ATP5B
923,EGFR,ESR1
924,EGFR,SLC3A2
925,EGFR,RPL6
926,EGFR,DNM2
927,EGFR,ODF3L2
928,EGFR,RBM41
929,EGFR,SMIM5
930,EGFR,COG4
931,EGFR,SLC1A5
932,EGFR,IRS1
933,EGFR,NUP93
934,EGFR,RASA1
935,EGFR,FN3KRP
936,EGFR,PPP6R1
937,EGFR,UBA2
938,EGFR,CSTA
939,EGFR,DRD2
940,EGFR,PTPRE
941,EGFR,LAMP1
942,EGFR,SH2D3C
943,EGFR,FDFT1
944,EGFR,GPATCH8
945,EGFR,RPA3
946,EGFR,DNAAF5
947,EGFR,ANXA2
948,EGFR,MCM3
949,EGFR,S100A10
950,EGFR,RPS3
